Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.34,-.06,-.42,-.18,-.02,-1.07,-.52,-.28,-.22,-.14,-.05,.05,.65
1881,-.11,-.21,-.02,-.36,.04,-.07,-.96,-.50,-.16,.02,.06,-.06,-.07,.57
1882,-.12,-.23,-.01,-.31,-.08,.02,-1.54,-.29,-.10,-.10,-.06,.02,.04,.60
1883,-.20,-.34,-.07,-.39,-.21,.00,-.42,-.63,-.23,-.24,-.18,-.02,.07,.48
1884,-.30,-.45,-.16,-.59,-.21,-.14,-1.38,-.62,-.42,-.23,-.20,-.19,-.02,.62
1885,-.32,-.41,-.25,-.61,-.16,-.26,-1.21,-.69,-.43,-.09,-.23,-.31,-.15,.80
1886,-.33,-.43,-.24,-.53,-.26,-.23,-1.28,-.50,-.42,-.25,-.27,-.22,-.20,.57
1887,-.36,-.42,-.31,-.48,-.33,-.28,-1.59,-.48,-.27,-.32,-.35,-.28,-.26,.30
1888,-.19,-.24,-.15,-.43,.07,-.30,-1.52,-.43,-.23,.06,.07,-.32,-.23,.13
1889,-.12,-.19,-.06,-.30,.04,-.17,-.91,-.21,-.23,-.01,.09,-.16,-.16,.42
1890,-.39,-.44,-.34,-.49,-.43,-.23,-1.35,-.56,-.28,-.35,-.51,-.19,-.28,.13
1891,-.26,-.30,-.22,-.46,-.14,-.22,-1.39,-.34,-.34,-.05,-.23,-.18,-.24,-.18
1892,-.28,-.40,-.17,-.44,-.31,-.09,-1.42,-.62,-.13,-.34,-.29,.01,-.22,.07
1893,-.34,-.48,-.20,-.51,-.40,-.08,-1.00,-.54,-.38,-.43,-.37,.02,-.21,-.07
1894,-.33,-.41,-.25,-.36,-.37,-.25,-1.45,-.29,-.13,-.50,-.24,-.17,-.35,-.40
1895,-.24,-.30,-.17,-.40,-.10,-.27,-1.01,-.46,-.20,-.15,-.05,-.21,-.32,-.61
1896,-.13,-.22,-.04,-.38,.08,-.16,-1.32,-.36,-.16,.04,.12,-.16,-.14,.23
1897,-.13,-.19,-.08,-.36,.12,-.25,-.83,-.40,-.21,.08,.16,-.21,-.28,.38
1898,-.29,-.31,-.28,-.34,-.28,-.27,-1.29,-.16,-.21,-.26,-.30,-.29,-.21,.35
1899,-.20,-.23,-.17,-.24,-.17,-.20,-1.17,-.02,-.14,-.22,-.12,-.18,-.22,.56
1900,-.11,-.10,-.10,-.20,.12,-.31,-.69,-.09,-.15,.06,.18,-.31,-.29,.25
1901,-.17,-.12,-.22,-.14,-.08,-.31,-.63,-.04,-.08,-.08,-.08,-.29,-.34,.24
